@relation mushroom

@attribute odor {almond,anise,creosote,fishy,foul,musty,none,pungent,spicy}
@attribute spore-print-color {black,brown,buff,chocolate,green,orange,purple,white,yellow}
@attribute cap-shape {bell,conical,convex,flat, knobbed,sunken}
@attribute class {poisonous, edible}

@data
almond,black,bell,edible
almond,black,convex,edible
anise,brown,conical,edible
almond,black,convex,edible
anise,black,bell,edible
almond,brown,convex,edible
anise,brown,convex,edible
none,brown,convex,edible
anise,brown,convex,edible
anise,brown,convex,edible
pungent,brown,convex,poisonous
almond,brown,convex,edible
almond,brown,convex,edible
anise,black,convex,edible
almond,brown,convex,edible
almond,black,conical,edible
almond,brown,convex,edible
none,black,conical,edible
none,black,conical,edible
none,black,conical,edible
almond,black,convex,edible
pungent,black,convex,poisonous
none,black,convex,edible
anise,black,convex,edible
pungent,brown,convex,poisonous
almond,black,convex,edible
pungent,black,convex,poisonous
anise,black,bell,edible
anise,black,bell,edible
pungent,brown,convex,poisonous
pungent,black,convex,poisonous
none,brown,convex,edible
anise,brown,convex,edible
none,brown,conical,edible
anise,brown,conical,edible
anise,black,bell,edible
almond,black,bell,edible
none,brown,convex,edible
almond,black,conical,edible
anise,black,convex,edible
none,black,conical,edible
none,brown,conical,edible
none,brown,convex,edible
none,black,conical,edible
pungent,brown,convex,poisonous
anise,black,convex,edible
anise,black,bell,edible
none,black,conical,edible
anise,black,bell,edible
almond,brown,bell,edible
none,brown,conical,edible
anise,black,conical,edible
anise,brown,bell,edible
anise,purple,convex,edible
almond,black,conical,edible
none,black,conical,edible
anise,black,convex,edible
anise,purple,conical,edible
none,black,conical,edible
almond,brown,bell,edible
almond,black,bell,edible
none,brown,conical,edible
almond,black,bell,edible
none,black,convex,edible
anise,black,convex,edible
almond,brown,convex,edible
almond,brown,bell,edible
almond,black,conical,edible
anise,black,convex,edible
none,black,convex,edible
almond,black,convex,edible
anise,black,bell,edible
almond,brown,convex,edible
anise,black,conical,edible
almond,black,conical,edible
anise,black,conical,edible
anise,purple,convex,edible
almond,black,bell,edible
anise,black,bell,edible
almond,black,convex,edible
anise,purple,conical,edible
almond,black,convex,edible
anise,brown,bell,edible
almond,black,conical,edible
pungent,black,convex,poisonous
pungent,black,convex,poisonous
anise,brown,convex,edible
none,brown,conical,edible
almond,black,bell,edible
anise,black,convex,edible
none,brown,conical,edible
almond,black,bell,edible
anise,black,convex,edible
pungent,black,convex,poisonous
pungent,brown,convex,poisonous
anise,brown,bell,edible
almond,brown,bell,edible
almond,brown,conical,edible
anise,brown,convex,edible
anise,brown,conical,edible
almond,brown,convex,edible
almond,black,convex,edible
none,brown,conical,edible
none,black,conical,edible
anise,purple,convex,edible
anise,brown,conical,edible
none,black,conical,edible
none,brown,conical,edible
anise,brown,convex,edible
anise,brown,convex,edible
almond,black,bell,edible
anise,brown,convex,edible
almond,brown,convex,edible
almond,purple,convex,edible
almond,black,bell,edible
none,brown,convex,edible
almond,black,convex,edible
none,black,conical,edible
almond,brown,bell,edible
anise,black,convex,edible
almond,black,convex,edible
almond,black,bell,edible
anise,black,bell,edible
almond,brown,convex,edible
none,brown,conical,edible
pungent,brown,convex,poisonous
almond,brown,bell,edible
almond,brown,bell,edible
pungent,black,convex,poisonous
pungent,brown,convex,poisonous
none,brown,conical,edible
pungent,black,convex,poisonous
none,brown,conical,edible
anise,black,convex,edible
anise,black,bell,edible
anise,brown,conical,edible
anise,black,conical,edible
anise,black,bell,edible
none,black,conical,edible
almond,brown,convex,edible
almond,black,bell,edible
almond,black,conical,edible
none,brown,conical,edible
anise,brown,convex,edible
anise,brown,bell,edible
anise,black,bell,edible
almond,brown,bell,edible
anise,brown,bell,edible
almond,black,convex,edible
almond,brown,convex,edible
none,black,conical,edible
almond,brown,conical,edible
almond,black,convex,edible
anise,brown,conical,edible
none,brown,convex,edible
almond,black,conical,edible
pungent,brown,convex,poisonous
anise,brown,convex,edible
none,brown,convex,edible
almond,brown,bell,edible
anise,black,convex,edible
anise,black,conical,edible
none,brown,convex,edible
pungent,brown,convex,poisonous
pungent,black,convex,poisonous
anise,black,convex,edible
almond,brown,bell,edible
almond,brown,convex,edible
pungent,black,convex,poisonous
anise,black,convex,edible
none,black,convex,edible
none,black,convex,edible
almond,black,bell,edible
almond,black,convex,edible
almond,brown,bell,edible
anise,brown,conical,edible
anise,brown,convex,edible
anise,brown,bell,edible
almond,black,bell,edible
pungent,brown,convex,poisonous
almond,purple,conical,edible
almond,brown,convex,edible
anise,brown,bell,edible
almond,purple,conical,edible
anise,black,bell,edible
almond,brown,bell,edible
almond,black,bell,edible
anise,brown,conical,edible
none,brown,convex,edible
almond,brown,bell,edible
almond,black,convex,edible
anise,brown,bell,edible
anise,black,conical,edible
anise,brown,convex,edible
none,brown,convex,edible
anise,black,convex,edible
none,black,conical,edible
anise,brown,convex,edible
none,brown,conical,edible
almond,brown,bell,edible
almond,black,bell,edible
almond,brown,convex,edible
anise,brown,bell,edible
almond,black,convex,edible
almond,brown,convex,edible
none,black,conical,edible
almond,brown,convex,edible
pungent,brown,convex,poisonous
almond,brown,convex,edible
anise,brown,convex,edible
anise,brown,bell,edible
almond,black,convex,edible
none,black,conical,edible
anise,black,bell,edible
anise,black,convex,edible
almond,black,convex,edible
pungent,black,convex,poisonous
none,black,convex,edible
anise,brown,convex,edible
pungent,brown,convex,poisonous
anise,black,convex,edible
anise,brown,bell,edible
anise,black,conical,edible
almond,black,convex,edible
almond,brown,convex,edible
pungent,brown,convex,poisonous
pungent,brown,convex,poisonous
anise,black,bell,edible
none,black,convex,edible
pungent,brown,convex,poisonous
anise,brown,convex,edible
almond,black,bell,edible
almond,brown,convex,edible
pungent,brown,convex,poisonous
anise,black,bell,edible
almond,brown,bell,edible
anise,black,conical,edible
almond,black,bell,edible
almond,black,convex,edible
anise,brown,bell,edible
anise,brown,convex,edible
almond,black,bell,edible
almond,black,bell,edible
pungent,black,convex,poisonous
pungent,brown,convex,poisonous
pungent,black,convex,poisonous
almond,black,convex,edible
almond,black,convex,edible
almond,black,convex,edible
almond,brown,convex,edible
anise,brown,bell,edible
anise,brown,bell,edible
none,black,convex,edible
almond,black,bell,edible
anise,brown,convex,edible
almond,black,convex,edible
anise,black,convex,edible
anise,brown,conical,edible
almond,purple,conical,edible
anise,brown,convex,edible
anise,purple,conical,edible
none,black,conical,edible
almond,brown,conical,edible
anise,black,convex,edible
anise,brown,convex,edible
anise,brown,convex,edible
pungent,brown,convex,poisonous
anise,brown,convex,edible
pungent,brown,convex,poisonous
almond,black,convex,edible
almond,black,convex,edible
almond,purple,conical,edible
pungent,brown,convex,poisonous
almond,brown,bell,edible
none,black,conical,edible
almond,black,convex,edible
none,brown,convex,edible
almond,brown,convex,edible
anise,brown,bell,edible
anise,brown,bell,edible
anise,purple,convex,edible
anise,brown,bell,edible
almond,black,conical,edible
none,brown,conical,edible
none,brown,convex,edible
none,black,conical,edible
anise,black,conical,edible
anise,purple,conical,edible
almond,brown,bell,edible
almond,black,bell,edible
pungent,black,convex,poisonous
anise,brown,conical,edible
almond,brown,convex,edible
almond,brown,conical,edible
almond,brown,convex,edible
almond,brown,convex,edible
anise,black,convex,edible
none,brown,conical,edible
anise,brown,conical,edible
none,brown,convex,edible
anise,brown,convex,edible
almond,black,conical,edible
anise,brown,convex,edible
almond,brown,convex,edible
none,black,convex,edible
almond,brown,convex,edible
anise,brown,convex,edible
almond,brown,convex,edible
anise,black,convex,edible
anise,brown,conical,edible
anise,brown,bell,edible
almond,brown,conical,edible
none,brown,conical,edible
almond,black,convex,edible
anise,black,convex,edible
anise,black,conical,edible
almond,purple,convex,edible
almond,brown,convex,edible
almond,brown,conical,edible
almond,black,convex,edible
anise,brown,convex,edible
none,brown,convex,edible
anise,black,conical,edible
almond,black,convex,edible
almond,brown,bell,edible
anise,brown,convex,edible
anise,brown,convex,edible
almond,black,bell,edible
anise,black,convex,edible
anise,black,convex,edible
anise,black,convex,edible
anise,black,conical,edible
none,brown,convex,edible
none,black,convex,edible
none,brown,convex,edible
anise,brown,convex,edible
none,black,conical,edible
pungent,black,conical,poisonous
none,brown,convex,edible
pungent,brown,conical,poisonous
pungent,brown,convex,poisonous
anise,black,bell,edible
none,black,convex,edible
anise,black,convex,edible
none,black,conical,edible
none,black,convex,edible
almond,brown,convex,edible
anise,brown,convex,edible
none,brown,convex,edible
none,brown,conical,edible
none,black,convex,edible
none,black,conical,edible
none,brown,convex,edible
anise,black,convex,edible
anise,purple,convex,edible
none,brown,conical,edible
none,brown,convex,edible
none,black,convex,edible
pungent,black,convex,poisonous
none,brown,convex,edible
almond,brown,bell,edible
none,black,convex,edible
none,brown,conical,edible
pungent,brown,conical,poisonous
anise,brown,convex,edible
none,black,convex,edible
none,black,conical,edible
almond,black,convex,edible
none,black,convex,edible
none,black,conical,edible
none,brown,convex,edible
almond,brown,bell,edible
none,black,convex,edible
pungent,brown,convex,poisonous
none,brown,convex,edible
none,brown,conical,edible
none,brown,conical,edible
none,black,conical,edible
anise,black,bell,edible
none,black,conical,edible
pungent,brown,conical,poisonous
pungent,brown,convex,poisonous
anise,black,bell,edible
none,brown,conical,edible
none,brown,convex,edible
none,brown,conical,edible
anise,black,bell,edible
pungent,black,convex,poisonous
none,black,convex,edible
anise,purple,conical,edible
anise,brown,convex,edible
none,black,convex,edible
none,black,conical,edible
none,black,convex,edible
none,brown,convex,edible
none,black,conical,edible
none,black,conical,edible
pungent,black,conical,poisonous
none,black,convex,edible
none,black,convex,edible
none,black,convex,edible
none,brown,conical,edible
none,black,convex,edible
none,black,conical,edible
none,black,convex,edible
none,black,conical,edible
none,black,convex,edible
anise,black,bell,edible
none,black,convex,edible
anise,brown,convex,edible
none,black,conical,edible
none,brown,conical,edible
anise,black,convex,edible
none,black,conical,edible
none,brown,convex,edible
pungent,black,convex,poisonous
none,brown,convex,edible
none,black,conical,edible
none,brown,convex,edible
none,black,convex,edible
anise,brown,convex,edible
anise,black,convex,edible
none,black,convex,edible
none,brown,convex,edible
none,black,conical,edible
none,black,conical,edible
none,black,conical,edible
anise,brown,convex,edible
almond,purple,conical,edible
anise,brown,bell,edible
pungent,black,conical,poisonous
none,black,convex,edible
anise,brown,conical,edible
none,brown,conical,edible
pungent,black,convex,poisonous
anise,brown,convex,edible
none,brown,convex,edible
none,brown,convex,edible
none,brown,conical,edible
none,brown,convex,edible
anise,brown,convex,edible
almond,brown,convex,edible
none,black,convex,edible
almond,brown,conical,edible
none,black,conical,edible
none,black,conical,edible
almond,purple,conical,edible
anise,brown,conical,edible
none,brown,convex,edible
pungent,brown,conical,poisonous
none,black,convex,edible
none,brown,conical,edible
almond,black,bell,edible
almond,black,bell,edible
almond,brown,convex,edible
pungent,black,conical,poisonous
pungent,brown,conical,poisonous
none,brown,convex,edible
anise,purple,conical,edible
anise,black,convex,edible
none,black,convex,edible
none,brown,convex,edible
pungent,black,convex,poisonous
none,brown,convex,edible
none,brown,conical,edible
none,brown,convex,edible
none,black,conical,edible
almond,black,convex,edible
almond,brown,conical,edible
none,black,convex,edible
pungent,black,convex,poisonous
almond,brown,convex,edible
almond,black,conical,edible
none,black,convex,edible
none,brown,convex,edible
none,brown,convex,edible
almond,brown,convex,edible
none,brown,convex,edible
pungent,brown,conical,poisonous
none,black,convex,edible
none,black,convex,edible
none,black,convex,edible
none,black,convex,edible
none,brown,convex,edible
anise,brown,convex,edible
none,black,convex,edible
anise,black,bell,edible
anise,brown,convex,edible
none,brown,conical,edible
anise,black,convex,edible
none,brown,convex,edible
none,brown,conical,edible
anise,brown,convex,edible
none,brown,convex,edible
none,brown,convex,edible
pungent,black,conical,poisonous
anise,purple,conical,edible
almond,black,convex,edible
none,brown,conical,edible
none,black,convex,edible
anise,brown,convex,edible
none,brown,convex,edible
pungent,brown,conical,poisonous
almond,brown,convex,edible
none,black,convex,edible
anise,black,conical,edible
none,black,conical,edible
none,brown,conical,edible
pungent,brown,conical,poisonous
none,brown,conical,edible
anise,black,convex,edible
none,black,conical,edible
pungent,brown,conical,poisonous
anise,black,bell,edible
none,black,conical,edible
anise,black,bell,edible
none,brown,conical,edible
anise,brown,bell,edible
anise,black,convex,edible
pungent,black,conical,poisonous
anise,black,convex,edible
none,black,conical,edible
almond,black,convex,edible
none,brown,conical,edible
anise,purple,conical,edible
none,brown,convex,edible
pungent,black,conical,poisonous
none,black,convex,edible
none,black,convex,edible
none,black,convex,edible
pungent,brown,convex,poisonous
none,brown,convex,edible
none,brown,conical,edible
none,brown,convex,edible
pungent,brown,convex,poisonous
none,brown,conical,edible
none,black,conical,edible
pungent,black,convex,poisonous
none,brown,conical,edible
anise,brown,bell,edible
none,brown,convex,edible
none,black,conical,edible
pungent,black,conical,poisonous
almond,brown,convex,edible
none,black,conical,edible
anise,black,conical,edible
none,black,conical,edible
none,brown,conical,edible
none,brown,conical,edible
none,black,conical,edible
none,brown,convex,edible
none,black,convex,edible
none,black,conical,edible
none,brown,convex,edible
none,black,convex,edible
almond,purple,conical,edible
none,black,convex,edible
none,black,conical,edible
almond,brown,bell,edible
none,brown,convex,edible
none,black,convex,edible
pungent,brown,conical,poisonous
none,black,convex,edible
pungent,black,convex,poisonous
none,brown,conical,edible
almond,black,convex,edible
none,black,convex,edible
none,brown,convex,edible
anise,brown,bell,edible
none,brown,conical,edible
none,brown,convex,edible
none,brown,conical,edible
none,brown,convex,edible
none,brown,conical,edible
none,black,convex,edible
none,brown,convex,edible
none,brown,convex,edible
none,black,conical,edible
none,brown,convex,edible
none,black,convex,edible
none,black,conical,edible
none,black,conical,edible
almond,black,conical,edible
pungent,brown,convex,poisonous
none,black,conical,edible
pungent,black,convex,poisonous
almond,brown,bell,edible
none,black,convex,edible
none,black,conical,edible
none,brown,conical,edible
none,black,conical,edible
almond,brown,bell,edible
none,black,convex,edible
none,brown,convex,edible
almond,black,convex,edible
none,black,convex,edible
almond,brown,bell,edible
pungent,black,convex,poisonous
none,black,convex,edible
none,black,conical,edible
almond,brown,bell,edible
none,black,convex,edible
none,black,convex,edible
none,brown,conical,edible
none,black,convex,edible
none,black,convex,edible
none,black,convex,edible
anise,black,bell,edible
none,brown,conical,edible
none,brown,convex,edible
almond,black,conical,edible
anise,black,convex,edible
anise,black,convex,edible
none,brown,conical,edible
almond,black,convex,edible
almond,black,convex,edible
none,brown,conical,edible
none,black,conical,edible
